"status","deathDate"
"civilian",2015-05-21
"civilian",2015-05-21
"civilian",2015-05-21
"civilian",2015-05-20
"civilian",2015-05-20
"civilian",2015-05-20
"civilian",2015-05-19
"civilian",2015-05-19
"civilian",2015-05-19
"civilian",2015-05-19
"civilian",2015-05-17
"civilian",2015-05-17
"civilian",2015-05-17
"civilian",2015-05-17
"civilian",2015-05-16
"civilian",2015-05-15
"civilian",2015-05-15
"civilian",2015-05-14
"civilian",2015-05-13
"civilian",2015-05-13
"civilian",2015-05-12
"civilian",2015-05-12
"civilian",2015-05-12
"civilian",2015-05-12
"civilian",2015-05-11
"civilian",2015-05-11
"civilian",2015-05-11
"civilian",2015-05-11
"civilian",2015-05-11
"civilian",2015-05-11
"civilian",2015-05-09
"civilian",2015-05-08
"civilian",2015-05-08
"civilian",2015-05-07
"civilian",2015-05-07
"civilian",2015-05-07
"civilian",2015-05-07
"civilian",2015-05-07
"civilian",2015-05-06
"civilian",2015-05-06
"civilian",2015-05-06
"civilian",2015-05-05
"civilian",2015-05-05
"civilian",2015-05-05
"civilian",2015-05-04
"civilian",2015-05-04
"civilian",2015-05-04
"civilian",2015-05-03
"civilian",2015-05-03
"civilian",2015-05-03
"civilian",2015-05-03
"civilian",2015-05-03
"civilian",2015-05-02
"civilian",2015-04-30
"civilian",2015-04-30
"civilian",2015-04-29
"civilian",2015-04-29
"civilian",2015-04-29
"civilian",2015-04-29
"civilian",2015-04-29
"civilian",2015-04-29
"civilian",2015-04-28
"civilian",2015-04-28
"civilian",2015-04-28
"civilian",2015-04-28
"civilian",2015-04-27
"civilian",2015-04-26
"civilian",2015-04-26
"civilian",2015-04-26
"civilian",2015-04-26
"civilian",2015-04-25
"civilian",2015-04-25
"civilian",2015-04-24
"civilian",2015-04-24
"civilian",2015-04-24
"civilian",2015-04-24
"civilian",2015-04-24
"civilian",2015-04-23
"civilian",2015-04-23
"civilian",2015-04-23
"civilian",2015-04-23
"civilian",2015-04-23
"civilian",2015-04-23
"civilian",2015-04-23
"civilian",2015-04-22
"civilian",2015-04-22
"civilian",2015-04-22
"civilian",2015-04-22
"civilian",2015-04-22
"civilian",2015-04-22
"civilian",2015-04-21
"civilian",2015-04-21
"civilian",2015-04-21
"civilian",2015-04-21
"civilian",2015-04-21
"civilian",2015-04-20
"civilian",2015-04-20
"civilian",2015-04-19
"civilian",2015-04-19
"civilian",2015-04-19
"civilian",2015-04-19
"civilian",2015-04-18
"civilian",2015-04-18
"civilian",2015-04-18
"civilian",2015-04-18
"civilian",2015-04-17
"civilian",2015-04-17
"civilian",2015-04-17
"civilian",2015-04-16
"civilian",2015-04-16
"civilian",2015-04-16
"civilian",2015-04-16
"civilian",2015-04-15
"civilian",2015-04-15
"civilian",2015-04-15
"civilian",2015-04-15
"civilian",2015-04-15
"civilian",2015-04-15
"civilian",2015-04-15
"civilian",2015-04-15
"civilian",2015-04-14
"civilian",2015-04-14
"civilian",2015-04-13
"civilian",2015-04-13
"civilian",2015-04-13
"civilian",2015-04-12
"civilian",2015-04-12
"civilian",2015-04-11
"civilian",2015-04-10
"civilian",2015-04-10
"civilian",2015-04-09
"civilian",2015-04-09
"civilian",2015-04-09
"civilian",2015-04-09
"civilian",2015-04-08
"civilian",2015-04-08
"civilian",2015-04-08
"civilian",2015-04-08
"civilian",2015-04-08
"civilian",2015-04-07
"civilian",2015-04-07
"civilian",2015-04-06
"civilian",2015-04-06
"civilian",2015-04-06
"civilian",2015-04-06
"civilian",2015-04-06
"civilian",2015-04-05
"civilian",2015-04-04
"civilian",2015-04-04
"civilian",2015-04-04
"civilian",2015-04-04
"civilian",2015-04-04
"civilian",2015-04-03
"civilian",2015-04-03
"civilian",2015-04-02
"civilian",2015-04-02
"civilian",2015-04-02
"civilian",2015-04-02
"civilian",2015-04-01
"civilian",2015-03-31
"civilian",2015-03-31
"civilian",2015-03-31
"civilian",2015-03-31
"civilian",2015-03-31
"civilian",2015-03-30
"civilian",2015-03-30
"civilian",2015-03-30
"civilian",2015-03-30
"civilian",2015-03-29
"civilian",2015-03-29
"civilian",2015-03-29
"civilian",2015-03-29
"civilian",2015-03-27
